Land;WahlkreisNr;Wahlkreis;Bezeichnung;Name;Stimmen;AnteilImWahlkreis;Zuordnung
SN;160;Dresden II – Bautzen II;Direktkandidat Frank Hannig;Hannig, F;3223;1,7;EZB
SN;160;Dresden II – Bautzen II;Erststimme fürs Klima #KLIMAfirst;Düvelshaupt, J;497;0,3;EZB
SN;162;Chemnitz;Daniel Richter;Richter, D;518;0,4;EZB
SN;162;Chemnitz;Internationalistisches Bündnis;Weidemann, J;362;0,3;DL (WG IB)
SN;162;Chemnitz;Röhder;Röhder, H;301;0,2;EZB
SN;164;Erzgebirgskreis I;REICHEL;Reichel, S;488;0,3;EZB
SN;165;Zwickau;Internationalistisches Bündnis;Krajak, T;145;0,1;DL (WG IB)
SN;166;Vogtlandkreis;Ischgl;Gerisch, C;277;0,2;EZB
HE;167;Waldeck;Internationalistisches Bündnis;Meyer, B;151;0,1;DL (WG IB)
HE;167;Waldeck;Wir - alle gemeinsam;Müller, G;716;0,5;EZB
HE;168;Kassel;Mascher;Mascher, S;87;0,1;Sonstige (WG Klimaliste)
HE;168;Kassel;Wir haben eine Welt zu verlieren;El-Fayoumy, C;416;0,3;EZB
HE;169;Werra-Meißner – Hersfeld-Rotenburg;Internationalistisches Bündnis;Schmidt, H;107;0,1;DL (WG IB)
HE;170;Schwalm-Eder;Neue Wege;Klement, A;435;0,3;EZB
HE;171;Marburg;Internationalistisches Bündnis;Marinello, K;103;0,1;DL (WG IB)
HE;171;Marburg;Marburger Pogo-Anarchisten;Carstensen, S;271;0,2;EZB
HE;172;Lahn-Dill;Transparent, Nah am Bürger, Treu den Wählern TNT;Hausner, M;259;0,2;EZB
HE;174;Fulda;Aktion Bürger für Gerechtigkeit;Hemm, E;520;0,3;Sonstige (ABG)
HE;178;Rheingau-Taunus – Limburg;CSB Carsten Schlossbauer;Schlossbauer, C;461;0,3;EZB
HE;180;Hanau;REHBEIN;Rehbein, Dr. P;833;0,6;EZB
HE;186;Darmstadt;Klimaliste Darmstadt-Dieburg;Stachowiak, M;644;0,3;Sonstige (WG Klimaliste)
HE;187;Odenwald;Internationalistisches Bündnis;Stein, Dr. D;273;0,2;DL (WG IB)
HE;188;Bergstraße;Gemeinsam sind Wir MehrWert!;Grammbitter, H;385;0,3;EZB
TH;194;Gera – Greiz – Altenburger Land;Bernd Nebeler;Nebeler, B;474;0,3;EZB
TH;194;Gera – Greiz – Altenburger Land;Gebhard Berger;Berger, G;3649;2,2;EZB
TH;196;Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg;Marko Bieling;Bieling, M;371;0,2;EZB
RP;197;Neuwied;Markus Erdmann - Klimaliste;Erdmann, M;194;0,1;Sonstige (WG Klimaliste)
RP;198;Ahrweiler;Klimaliste für Collective Care und Inklusion;Mandel, A;456;0,3;Sonstige (WG Klimaliste)
RP;199;Koblenz;Klimaliste;Sayn, A;409;0,3;Sonstige (WG Klimaliste)
RP;200;Mosel/Rhein-Hunsrück;Wahlrechtsreform;Krämer, H;249;0,2;EZB
RP;201;Kreuznach;Klimaliste;Vollmer, Dr. D;362;0,3;Sonstige (WG Klimaliste)
RP;203;Trier;Internationalistisches Bündnis;Bartholomé, A;17;0;DL (WG IB)
RP;203;Trier;Parteilos Dr. Moritz;Moritz, Dr. I;807;0,6;EZB
RP;204;Montabaur;Wotan Engels;Engels, W;336;0,2;EZB
RP;205;Mainz;Klimaliste;Seiffert, Prof. Dr. S;1396;0,7;Sonstige (WG Klimaliste)
RP;205;Mainz;Mit Sachverstand die Zukunft gestalten;Heil, M;758;0,4;EZB
RP;206;Worms;Klimaliste;Pohl, C;553;0,3;Sonstige (WG Klimaliste)
RP;207;Ludwigshafen/Frankenthal;AusUnsrerMitte;Hackel, B;431;0,3;EZB
RP;207;Ludwigshafen/Frankenthal;Klimaliste;Schöne, M;626;0,4;Sonstige (WG Klimaliste)
RP;207;Ludwigshafen/Frankenthal;Politik durch Bodenständigkeit und Bürgerbeteiligung;Bechtel, R;586;0,4;EZB
RP;208;Neustadt – Speyer;Klimaliste;Wittner, J;802;0,5;Sonstige (WG Klimaliste)
RP;209;Kaiserslautern;Internationalistisches Bündnis;Schwang, D;28;0;DL (WG IB)
RP;209;Kaiserslautern;Klimaliste;Hoppe, D;147;0,1;Sonstige (WG Klimaliste)
RP;209;Kaiserslautern;Lauer, Marius Wolfgang;Lauer, M;392;0,2;EZB
RP;210;Pirmasens;Klimaliste;Hofmann, V;163;0,1;Sonstige (WG Klimaliste)
RP;211;Südpfalz;Klimaliste;Mobasheri, C;225;0,1;Sonstige (WG Klimaliste)
RP;211;Südpfalz;Parteilos;Koccu, E;362;0,2;EZB
RP;211;Südpfalz;Südpfalz - stellt Fragen!;Vogler, H;206;0,1;EZB
BY;217;München-Nord;Vereinigte Direktkandidaten;Hilz, K;237;0,1;Sonstige (WG VD)
BY;218;München-Ost;Politisch mitwirken für alle;Klopstock, S;1650;0,9;EZB
BY;220;München-West/Mitte;Deutschland ist Önders;Dönmez, Ö;316;0,2;EZB
BY;220;München-West/Mitte;Mehr Vernunft;Sommerfeldt, O;66;0;EZB
BY;225;Traunstein;Einzelbewerber Englisch;Englisch, F;329;0,2;EZB
BY;226;Weilheim;Parteifreier Direktkandidat WK 226;Ryssel, R;966;0,7;EZB
BY;228;Landshut;Manz;Manz, R;400;0,2;EZB
BY;228;Landshut;Pettenkofer;Pettenkofer, G;1061;0,5;EZB
BY;231;Straubing;Stimme gegen Fraktionszwang;Knott, T;586;0,4;EZB
BY;232;Amberg;Unabhängiger Direktkandidat / Nikolaus Gradl;Gradl, N;2138;1,2;EZB
BY;233;Regensburg;Malkampf für das Klima;Friedl, J;384;0,2;EZB
BY;235;Weiden;Keine CO2-Steuer. WIEDERHERSTELLUNG unserer Grun;Bauer, H;749;0,6;EZB
BY;235;Weiden;#parteifrei #Gemeinsam gewinnen! #Gemeinsam verändern!;Dippel, K;9358;7,1;EZB
BY;236;Bamberg;Deas;Roensch, A;114;0,1;EZB
BY;239;Hof;MACH;Löhnert, M;99;0,1;EZB
BY;242;Erlangen;AKB;Kunstmann, A;127;0,1;EZB
BY;242;Erlangen;Angela and I are here to create ...;Kalupner, R;93;0,1;EZB
BY;242;Erlangen;Klimaliste;Henig, S;366;0,2;Sonstige (WG Klimaliste)
BY;244;Nürnberg-Nord;Eppel;Eppel, M;199;0,1;EZB
BY;246;Roth;Prof. Dr. med. Udo Schlot;Schlut, Prof. Dr. U;431;0,2;EZB
BY;247;Aschaffenburg;Zeitgemäße Demokratie mit Politik auf Augenhöhe;Lembach, R;351;0,2;EZB
BY;248;Bad Kissingen;Freiheit jetzt! - Michael Kaiser;Kaiser, M;371;0,2;EZB
BY;251;Würzburg;Unparteilich;Schürer, H;1884;1;EZB
BY;252;Augsburg-Stadt;Aktion Bürger für Gerechtigkeit;Kolb, A;242;0,2;Sonstige (ABG)
BY;252;Augsburg-Stadt;Ediz Sirin;Sirin, E;577;0,4;EZB
BY;253;Augsburg-Land;Internationalistische Liste;Baydar, S;135;0,1;DL (WG IB)
BY;255;Neu-Ulm;Vereinigte Direktkandidaten;Langhans, Dr. D;443;0,2;Sonstige (WG VD)
BY;256;Oberallgäu;Aktion Bürger für Gerechtigkeit;Dorn, A;444;0,2;Sonstige (ABG)
BW;258;Stuttgart I;Volk ins Parlament - VIP;Ressdorf, W;26;0;EZB
BW;259;Stuttgart II;Demir;Demir, E;373;0,3;EZB
BW;260;Böblingen;FRiDi - unabhängig - unbestechlich - ehrlich - bürgernah;Miller, F;239;0,1;EZB
BW;260;Böblingen;Nie wieder sinnlose Lockdowns!;Tolzin, H;690;0,4;EZB
