Einzelbewerber/Wählergruppe;EB: Gust;DUD;
Einzelbewerber/Wählergruppe;EB: Opfer;DU1;
Einzelbewerber/Wählergruppe;EB: Zimmermann;EB Zimmermann;
Einzelbewerber/Wählergruppe;EB: Sirin;Ediz Sirin;
Einzelbewerber/Wählergruppe;EB: Kramer;Ehrensache;
Einzelbewerber/Wählergruppe;EB: Glamann;ehrliche Politik / Transparenz;
Einzelbewerber/Wählergruppe;EB: Roloff;EINFACH MACHEN;
Einzelbewerber/Wählergruppe;EB: Härtlein;Ein Leipziger für Leipzig;
Einzelbewerber/Wählergruppe;EB: Englisch;Einzelbewerber Englisch;
Einzelbewerber/Wählergruppe;EB: Rohne;Einzelbewerber Rohne;
Einzelbewerber/Wählergruppe;EB: Gums;Einzelbewerber Rüdiger Gums Parteilos;
Einzelbewerber/Wählergruppe;EB: Wieczorek;Einzelbewerber Wieczorek;
Einzelbewerber/Wählergruppe;EB: Schlüter;Einzelkandidat Schlüter;
Einzelbewerber/Wählergruppe;EB: Eppel;Eppel;
Einzelbewerber/Wählergruppe;EB: Ergin;Ergin;
Einzelbewerber/Wählergruppe;EB: Pape;erneuerung-klima.de;
Einzelbewerber/Wählergruppe;#KLIMAfirst;Erststimme fürs Klima;
Einzelbewerber/Wählergruppe;EB: Hofmann;Eure Stimme von Morgen;
Einzelbewerber/Wählergruppe;EB: Kaiser;Freiheit jetzt! - Michael Kaiser;
Einzelbewerber/Wählergruppe;EB: Miller;FRiDi - unabhängig - unbestechlich - ehrlich - bürgernah;
Einzelbewerber/Wählergruppe;EB: Neumann;Frieden;
Einzelbewerber/Wählergruppe;EB: Wendt;FriGGa Wendt, Grundeinkommen-für-alle.org;
Einzelbewerber/Wählergruppe;EB: Janowski;Für die Altmark nach Berlin;
Einzelbewerber/Wählergruppe;EB: Conrad;für mehr Bürgerbeteiligung;
Einzelbewerber/Wählergruppe;EB: Berger;Gebhard Berger;
Einzelbewerber/Wählergruppe;EB: Grammbitter;Gemeinsam sind Wir MehrWert!;
Einzelbewerber/Wählergruppe;EB: Buro;Gesicht zeigen;
Einzelbewerber/Wählergruppe;EB: Goldbeck;Goldi;
Einzelbewerber/Wählergruppe;EB: Mund;Heidi Mund;
Einzelbewerber/Wählergruppe;EB: Müller;Ihre parteilose Direktstimme im Bundestag für Mitbestimmung;
Einzelbewerber/Wählergruppe;EB: Herbert;Internationalistische Liste;
Einzelbewerber/Wählergruppe;EB: Harting;Internationalistische Liste;
Einzelbewerber/Wählergruppe;EB: Göller;Internationalistische Liste;
Einzelbewerber/Wählergruppe;EB: Meister;Internationalistische Liste;
Einzelbewerber/Wählergruppe;EB: Rapps;Internationalistische Liste;
Einzelbewerber/Wählergruppe;EB: Baydar;Internationalistische Liste;
Einzelbewerber/Wählergruppe;EB: Dumberger;Internationalistische Liste;
Einzelbewerber/Wählergruppe;EB: Barth;Internationalistische Liste;
Einzelbewerber/Wählergruppe;EB: Zajonc;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Schäuble-Leopold;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Lenz;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Stein;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Krajak;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Schmidt;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Schwang;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Grütte;Internationalistisches Bündnis;
